,school_name,school_addr,latitude,longitude,1_stu_num,2_stu_num,3_stu_num,4_stu_num,5_stu_num,6_stu_num
1301,대구달산초등학교,대구광역시 북구 옥산로17길 37,35.8875869,128.58514409999998, 195 , 158 , 173 , 151 , 181 , 197 
1302,대구침산초등학교,대구광역시 북구 성북로 25,35.8914551,128.5855746, 222 , 202 , 162 , 154 , 160 , 167 
1303,대구태현초등학교,대구광역시 북구 태전로 95,35.9282057,128.5407643, 69 , 80 , 75 , 71 , 74 , 79 
1304,대구관천초등학교,대구광역시 북구 구암로22길 17,35.9305346,128.5520482, 43 , 34 , 46 , 31 , 48 , 42 
1305,대구태암초등학교,대구광역시 북구 칠곡중앙대로52길 56,35.9230319,128.5506518, 92 , 89 , 84 , 113 , 74 , 92 
1306,대구태전초등학교,대구광역시 북구 칠곡중앙대로75길 16,35.9302356,128.54600159999998, 48 , 51 , 55 , 43 , 51 , 43 
1307,대구도남초등학교,대구광역시 북구 구리로 202,35.9483416,128.577122, 78 , 70 , 76 , 83 , 72 , 85 
1308,대구학남초등학교,대구광역시 북구 학정동로 23,35.94623970000001,128.5663595, 149 , 129 , 134 , 115 , 157 , 153 
1309,대구동변초등학교,대구광역시 북구 동변로 60,35.919342,128.60424790000002, 136 , 151 , 115 , 150 , 120 , 142 
1310,대구북부초등학교,대구광역시 북구 동천로 20,35.9334558,128.5591579, 61 , 66 , 53 , 63 , 66 , 84 
1311,대구함지초등학교,대구광역시 북구 동천로 33,35.93481629999999,128.55797420000002, 81 , 79 , 91 , 99 , 122 , 151 
1312,대구동평초등학교,대구광역시 북구 동천로 84,35.9387842,128.5607558, 157 , 179 , 184 , 190 , 195 , 234 
1313,대구성북초등학교,대구광역시 북구 호국로57길 42,35.9263303,128.5942114, 83 , 84 , 75 , 62 , 88 , 95 
1314,대구서변초등학교,대구광역시 북구 호국로43길 35,35.92059529999999,128.595132, 102 , 97 , 108 , 89 , 109 , 103 
1315,대구팔달초등학교,대구광역시 북구 매천로2길 19-6,35.8979308,128.5448273, 60 , 56 , 54 , 44 , 52 , 72 
1316,대구학정초등학교,대구광역시 북구 학남로 32,35.9484505,128.5690477, 144 , 143 , 133 , 146 , 145 , 153 
1317,대구효명초등학교,대구광역시 남구 앞산순환로 707,35.8345445,128.60099979999998, 86 , 56 , 66 , 73 , 63 , 82 
1318,대구남도초등학교,대구광역시 남구 현충동길 74,35.845157,128.5813263, 110 , 108 , 94 , 92 , 112 , 120 
1319,대구남명초등학교,대구광역시 남구 큰골4길 41,35.8345108,128.5820831, 34 , 27 , 39 , 28 , 28 , 29 
1320,대구남덕초등학교,대구광역시 남구 앞산순환로93길 33,35.8329404,128.5740284, 45 , 51 , 43 , 28 , 29 , 34 
1321,대구대명초등학교,대구광역시 남구 대명로 100,35.8388959,128.5691209, 101 , 113 , 85 , 84 , 103 , 119 
1322,대구대덕초등학교,대구광역시 남구 대명서로 28,35.8301959,128.5618293, 36 , 41 , 46 , 36 , 33 , 46 
1323,남대구초등학교,대구광역시 남구 중앙대로47길 55,35.85358090000001,128.5864793, 21 , 21 , 20 , 29 , 22 , 32 
1324,대구성명초등학교,대구광역시 남구 성당로30길 55,35.84549910000001,128.5710679, 66 , 40 , 48 , 51 , 57 , 71 
1325,대구봉덕초등학교,대구광역시 남구 효성로 71,35.839813,128.59715970000002, 82 , 80 , 85 , 99 , 120 , 109 
1326,대구대봉초등학교,대구광역시 남구 대봉로26길 33,35.8513618,128.6050747, 92 , 122 , 101 , 95 , 100 , 110 
1327,대구영선초등학교,대구광역시 남구 영선길 96,35.8524875,128.59604579999998, 64 , 57 , 72 , 68 , 70 , 93 
1328,대구교육대학교대구부설초등학교,대구광역시 달서구 도원남로 19,35.8059641,128.532419, 72 , 73 , 74 , 72 , 74 , 70 
1329,대구장기초등학교,대구광역시 달서구 장기로 280,35.8444367,128.5290793, 105 , 106 , 105 , 102 , 124 , 116 
1330,대구대남초등학교,대구광역시 달서구 월배로68길 91,35.824349100000006,128.5518567, 80 , 73 , 94 , 77 , 80 , 87 
1331,대구진천초등학교,대구광역시 달서구 상화로9길 65,35.81129310000001,128.5195777, 89 , 88 , 92 , 80 , 59 , 95 
1332,대구유천초등학교,대구광역시 달서구 달서대로 39,35.8123162,128.5119967, 180 , 175 , 160 , 146 , 152 , 154 
1333,대구도원초등학교,대구광역시 달서구 도원남로 100-30,35.8048483,128.5422966, 87 , 88 , 85 , 78 , 91 , 87 
1334,대구대곡초등학교,대구광역시 달서구 도원남로 60,35.8031686,128.5357805, 140 , 120 , 107 , 114 , 102 , 112 
1335,대구노전초등학교,대구광역시 달서구 한실로 43,35.80817039999999,128.5312376, 113 , 98 , 103 , 103 , 103 , 124 
1336,대구남송초등학교,대구광역시 달서구 송현로 192,35.8349208,128.5453558, 59 , 60 , 62 , 54 , 63 , 83 
1337,대구월서초등학교,대구광역시 달서구 월배로39길 46,35.8214914,128.53178559999998, 185 , 200 , 197 , 195 , 247 , 283 
1338,대구상인초등학교,대구광역시 달서구 월곡로 211,35.813292,128.542499, 82 , 89 , 72 , 72 , 64 , 92 
1339,대구대서초등학교,대구광역시 달서구 송현로 9,35.8198277,128.5499913, 152 , 104 , 119 , 115 , 112 , 106 
1340,대구월촌초등학교,대구광역시 달서구 상인서로 60,35.8163888,128.543319, 81 , 77 , 76 , 92 , 83 , 124 
1341,대구월곡초등학교,대구광역시 달서구 상인로 40,35.8121868,128.5492658, 23 , 23 , 21 , 26 , 29 , 37 
1342,대구상원초등학교,대구광역시 달서구 월곡로20길 15,35.806364,128.5507007, 68 , 50 , 59 , 61 , 57 , 52 
1343,대구송현초등학교,대구광역시 달서구 송현로 128,35.82881339999999,128.54494440000002, 75 , 62 , 52 , 61 , 60 , 76 
1344,대구감천초등학교,대구광역시 달서구 구마로12길 60,35.8352704,128.5331864, 69 , 57 , 73 , 68 , 72 , 73 
1345,대구학산초등학교,대구광역시 달서구 월성로 76,35.8311237,128.5260944, 21 , 27 , 25 , 18 , 19 , 25 
1346,대구월성초등학교,대구광역시 달서구 학산로7길 26,35.8311044,128.5319666, 43 , 39 , 38 , 40 , 30 , 51 
1347,대구송일초등학교,대구광역시 달서구 학산로2길 38,35.8241222,128.5328413, 83 , 89 , 103 , 98 , 102 , 139 
1348,대구신월초등학교,대구광역시 달서구 조암남로 100,35.82046939999999,128.5228003, 233 , 226 , 208 , 218 , 222 , 242 
1349,대구조암초등학교,대구광역시 달서구 조암로5길 19,35.8238279,128.52846780000002, 98 , 104 , 144 , 96 , 146 , 157 
1350,대구월암초등학교,대구광역시 달서구 조암로6길 55,35.8282722,128.52170470000002, 234 , 218 , 225 , 254 , 256 , 250 
1351,대구월배초등학교,대구광역시 달서구 월배로 131,35.8167252,128.5287317, 83 , 82 , 95 , 77 , 101 , 83 
1352,대구진월초등학교,대구광역시 달서구 진천로4길 32,35.8110011,128.5282555, 60 , 52 , 44 , 68 , 60 , 64 
1353,대구대진초등학교,대구광역시 달서구 상화로 70,35.80666220000001,128.52178030000002, 91 , 87 , 94 , 89 , 93 , 115 
1354,대구감삼초등학교,대구광역시 달서구 당산로 123,35.8493001,128.5452328, 35 , 43 , 52 , 38 , 45 , 43 
1355,대구본리초등학교,대구광역시 달서구 장기로 198,35.8445943,128.5386527, 251 , 183 , 209 , 197 , 171 , 178 
1356,대구성남초등학교,대구광역시 달서구 성당로47길 35,35.8533292597,128.57228615100001, 72 , 55 , 69 , 69 , 77 , 83 
1357,대구내당초등학교,대구광역시 달서구 명덕로 22-9,35.8605408,128.5725022, 39 , 43 , 42 , 32 , 42 , 47 
1358,대구신흥초등학교,대구광역시 달서구 두류공원로 257,35.8564345,128.5567464, 75 , 75 , 76 , 68 , 70 , 81 
1359,대구성당초등학교,대구광역시 달서구 대명천로 118,35.8407442,128.5473222, 187 , 204 , 211 , 187 , 152 , 155 
1360,대구덕인초등학교,대구광역시 달서구 대명천로43길 66,35.8387263,128.53449640000002, 61 , 61 , 59 , 49 , 50 , 54 
1361,대구남부초등학교,대구광역시 달서구 야외음악당로15길 46,35.84471329999999,128.54998590000002, 75 , 51 , 63 , 57 , 65 , 59 
1362,대구신서초등학교,대구광역시 달서구 계대동문로3길 46,35.8580667,128.494766, 37 , 45 , 52 , 46 , 45 , 59 
1363,대구신당초등학교,대구광역시 달서구 서당로 14,35.8533103,128.49632409999998, 27 , 17 , 27 , 31 , 40 , 32 
1364,대구성지초등학교,대구광역시 달서구 새동네로 27,35.8530239,128.5186741, 75 , 83 , 81 , 70 , 65 , 83 
1365,대구성서초등학교,대구광역시 달서구 달구벌대로 1339,35.85196129999999,128.5144568, 64 , 58 , 46 , 56 , 45 , 61 
1366,대구죽전초등학교,대구광역시 달서구 죽전길 127,35.8576883,128.539937, 80 , 73 , 59 , 67 , 76 , 73 
1367,대구성산초등학교,대구광역시 달서구 선원남로 173,35.8578839,128.5188618, 73 , 78 , 83 , 92 , 86 , 99 
1368,대구선원초등학교,대구광역시 달서구 선원로33길 105,35.8612634,128.5154071, 50 , 49 , 68 , 48 , 64 , 57 
1369,대구용산초등학교,대구광역시 달서구 와룡로49길 80,35.8554756,128.5322549, 88 , 82 , 88 , 89 , 101 , 94 
1370,대구용전초등학교,대구광역시 달서구 용산로 260,35.8609762,128.5312642, 62 , 83 , 83 , 86 , 82 , 106 
1371,대구장산초등학교,대구광역시 달서구 장산로 30,35.8547707,128.5265462, 110 , 98 , 117 , 124 , 122 , 144 
1372,대구와룡초등학교,대구광역시 달서구 선원남로 22,35.8570908,128.50182809999998, 86 , 105 , 116 , 105 , 107 , 132 
1373,대구이곡초등학교,대구광역시 달서구 선원남로 120,35.8568211,128.5136512, 69 , 89 , 104 , 78 , 99 , 127 
1374,대구성곡초등학교,대구광역시 달서구 선원남로 127,35.85805429999999,128.5136126, 56 , 71 , 69 , 90 , 68 , 89 
1375,대구장성초등학교,대구광역시 달서구 달구벌대로 1429-11,35.85034829999999,128.5229433, 47 , 47 , 41 , 42 , 46 , 51 
1376,대구장동초등학교,대구광역시 달서구 달구벌대로304길 112,35.8445984,128.5318015, 183 , 145 , 147 , 123 , 143 , 144 
1377,대구호산초등학교,대구광역시 달서구 달서대로109길 116,35.8489555,128.4791174, 61 , 67 , 65 , 59 , 65 , 70 
1378,대구파호초등학교,대구광역시 달서구 달서대로109안길 76,35.8505565,128.481525, 45 , 50 , 52 , 51 , 64 , 59 
1379,효성초등학교,대구광역시 달서구 송현로 81,35.8242155,128.5434178, 90 , 96 , 97 , 97 , 90 , 94 
1380,효성초등학교,대구광역시 달서구 송현로 81,35.8242155,128.5434178, 77 , 77 , 87 , 81 , 97 , 108 
1381,대구다사초등학교,대구광역시 달성군 다사읍 다사로 86,35.8690349,128.4586371, 138 , 163 , 160 , 124 , 128 , 139 
1382,대구왕선초등학교,대구광역시 달성군 다사읍 대실역북로 93,35.8632119,128.465328, 135 , 133 , 123 , 107 , 113 , 123 
1383,대구매곡초등학교,대구광역시 달성군 다사읍 대실역북로3길 6,35.86219439999999,128.4685331, 98 , 103 , 97 , 89 , 129 , 117 
1384,대구서재초등학교,대구광역시 달성군 다사읍 서재로 100,35.8722228,128.49825259999997, 148 , 174 , 135 , 133 , 115 , 129 
1385,대구도림초등학교,대구광역시 달성군 다사읍 서재로26길 94,35.8779546,128.4997005, 71 , 71 , 68 , 80 , 63 , 85 
1386,대구죽곡초등학교,대구광역시 달성군 다사읍 죽곡1길 18,35.8565749,128.463128, 117 , 139 , 116 , 106 , 128 , 106 
1387,대구천내초등학교,대구광역시 달성군 화원읍 성천로 192,35.8094091,128.5020282, 32 , 37 , 43 , 40 , 45 , 63 
1388,대구화남초등학교,대구광역시 달성군 화원읍 명천로 181,35.7997494,128.4981648, 78 , 66 , 116 , 76 , 118 , 96 
1389,대구명곡초등학교,대구광역시 달성군 화원읍 명곡로 40,35.79663710000001,128.4961827, 43 , 51 , 40 , 61 , 51 , 66 
1390,대구화원초등학교,대구광역시 달성군 화원읍 비슬로 2580,35.8033315,128.4996244, 86 , 66 , 61 , 68 , 74 , 84 
1391,대구화동초등학교,대구광역시 달성군 화원읍 성암로 38,35.79975820000001,128.5096159, 55 , 57 , 50 , 45 , 52 , 71 
1392,대구금포초등학교,대구광역시 달성군 논공읍 금포초등길 28,35.77448970000001,128.4260848, 13 , 12 , 9 , 10 , 15 , 15 
1393,대구북동초등학교,대구광역시 달성군 논공읍 논공로11길 18,35.7294657,128.44064640000002, 43 , 61 , 60 , 60 , 67 , 65 
1394,대구논공초등학교,대구광역시 달성군 논공읍 논공로7길 41,35.7311279,128.4374078, 42 , 37 , 34 , 28 , 34 , 37 
1395,대구남동초등학교,대구광역시 달성군 논공읍 논공로 258,35.7246588,128.4564670815, 38 , 37 , 65 , 35 , 56 , 49 
1396,대구동곡초등학교,대구광역시 달성군 하빈면 달구벌대로55길 104-4,35.8791451,128.41783, 9 , 13 , 12 , 10 , 10 , 14 
1397,대구하빈초등학교,대구광역시 달성군 하빈면 하빈로 391-1,35.9015587,128.4421533, 10 , 4 , 15 , 11 , 9 , 12 
1398,대구반송초등학교,대구광역시 달성군 옥포읍 용연사길 5,35.7563979,128.4944993, 17 , 18 , 5 , 19 , 11 , 14 
