,school_name,1_stu_num,2_stu_num,3_stu_num,4_stu_num,5_stu_num,6_stu_num
5613,초전초등학교, 18 , 16 , 16 , 14 , 15 , 13 
5614,가산초등학교, 8 , 5 , 6 , 8 , 7 , 6 
5615,관호초등학교, 6 , 3 , 11 , 9 , 13 , 9 
5616,낙산초등학교, 8 , 7 , 7 , 6 , 7 , 9 
5617,다부초등학교, 14 , 16 , 12 , 12 , 11 , 12 
5618,대교초등학교, 258 , 211 , 254 , 208 , 213 , 211 
5619,동명초등학교, 7 , 10 , 12 , 6 , 13 , 13 
5620,동명동부초등학교, 7 , 17 , 17 , 7 , 8 , 10 
5621,매원초등학교, 8 , 9 , 6 , 8 , 12 , 5 
5622,북삼초등학교, 151 , 165 , 160 , 128 , 136 , 157 
5623,석적초등학교, 144 , 109 , 118 , 72 , 62 , 65 
5624,숭산초등학교, 11 , 9 , 6 , 11 , 7 , 6 
5625,신동초등학교, 9 , - , 11 , 5 , 10 , 5 
5626,북삼초등학교오평분교장, 1 , 2 , 2 , - , 3 , 2 
5627,약동초등학교, 45 , 52 , 27 , 40 , 31 , 44 
5628,약목초등학교, 38 , 34 , 32 , 44 , 28 , 47 
5629,왜관초등학교, 124 , 122 , 118 , 120 , 139 , 111 
5630,왜관동부초등학교, 108 , 80 , 95 , 94 , 96 , 114 
5631,왜관중앙초등학교, 65 , 72 , 54 , 62 , 62 , 78 
5632,인평초등학교, 74 , 102 , 92 , 93 , 112 , 139 
5633,장곡초등학교, 135 , 148 , 123 , 151 , 136 , 157 
5634,지천초등학교, 12 , 13 , 10 , 15 , 12 , 9 
5635,학림초등학교, 11 , 10 , 8 , 9 , 13 , 13 
5636,감천초등학교, 5 , 6 , 6 , 8 , 9 , 8 
5637,호명초등학교, 184 , 118 , 114 , 122 , 88 , 55 
5638,상리초등학교, 4 , 2 , - , 3 , 3 , 2 
5639,예천초등학교, 88 , 105 , 71 , 88 , 96 , 102 
5640,예천남부초등학교, 9 , 14 , 9 , 13 , 9 , 14 
5641,예천동부초등학교, 27 , 32 , 30 , 35 , 35 , 40 
5642,용궁초등학교, 3 , 10 , 4 , 7 , 10 , 7 
5643,용문초등학교, 6 , 6 , 12 , 13 , 17 , 8 
5644,유천초등학교, 14 , 10 , 9 , 11 , 11 , 8 
5645,은풍초등학교, 10 , 2 , 15 , 8 , 10 , 10 
5646,지보초등학교, 7 , 7 , 6 , 6 , 5 , 10 
5647,풍양초등학교, 10 , 8 , 7 , 7 , 13 , 9 
5648,내성초등학교, 53 , 61 , 55 , 51 , 50 , 59 
5649,도촌초등학교, 5 , 6 , 10 , 7 , 10 , 6 
5650,동양초등학교, - , 5 , 4 , 7 , 10 , 3 
5651,명호초등학교, 8 , 8 , 7 , 10 , 8 , 7 
5652,물야초등학교, 6 , 5 , 7 , 7 , 7 , 5 
5653,법전중앙초등학교, 5 , 5 , 8 , 1 , 6 , 5 
5654,봉성초등학교, 2 , - , 2 , 1 , 3 , 3 
5655,봉화초등학교, 17 , 18 , 24 , 24 , 10 , 31 
5656,소천초등학교분천분교장, 1 , - , 1 , - , - , 1 
